UserID,Date/Time,topic,SearchTerm,emoticonBased,lexiconBased,Annotation 1,Annotation 2,Annotation 3,finalLabel5Classes,finalLabel3Classes,SN(Original Shona Tweet),ENGoogleTranslate
Gift_Cr7,2022-09-16 04:49:04,Education,Vana,POS,NEG,VNEG,VNEG,NEU,VNEG,NEG,@GombaGuru @__vigie 😂😂 ah mudhara inzwaiwo tsitsi vana vatambura kunze uku 🙏🙏,'g oh mammal feel sorry for the kids wod out while 🙏🙏'
obeyshava1,2022-09-24 09:58:21,Agriculture,kudya,UNK,UNK,NEU,NEU,VPOS,NEU,NEU,"@ChinyandeGeorge @ngadziore @nancynjenge @tapchiriga97 @BorisCde @DenfordNgadzio1 @JoanaMamombe @ceechimbiri2 @advora_1 @ZLHRLawyers @Cde_Wombe Waigona kuhusunga kana kuti achihuisa pane zvaakarega. My msg is a response to your claim that ""hatijaidzi makudo kudya...."" that's the context of my response kuti vanhu vacho vamurikuti ngavadye in our place (iso makudo), as you've put it, vadii kudya vakanyarara?",'my message is a response to your demand that we not join the raspons to eat from my response so that my people eat in my respase to eat from my reserve that'
wixxynashy,2022-09-22 04:41:36,Sanitation ,Vanhu,UNK,POS,NEG,NEU,NEG,NEG,NEG,Munenge muchiseka vanhu vari single imi muchiitw rudo rwekumanikidzira,'you are making fun of people who are single you initw love for compulsion'
takudzwamac,2022-09-15 04:54:38,Finance,uyu,UNK,UNK,NEU,NEU,VNEG,NEU,NEU,@Sharonrose918 @habeeb_zw uyu oita sei,'g is how to do'
tindofish,2022-09-21 07:24:20,Home_Affairs,Baba,POS,POS,NEU,VPOS,VPOS,VPOS,POS,@baba_nyenyedzi Am honest and practical question Perm Sec @nickmangwana. Kungomirira 🙏🏿,'g am honest and prectical quetical quems perm sec. just wating for an armary🙏🏿'
ifta_bab,2022-09-21 08:43:05,Defence,chamisa,UNK,POS,VPOS,VPOS,POS,VPOS,POS,@Lee_Ann_Cara @nelsonchamisa Ichi ndoda kuchichengeta panodziya for ref muna 2023 President Chamisa kana vave kuState House,'g this would like to keep it on warm for ref in president charit or begin at state house'
iamhunterboi,2022-09-09 19:43:27,Communication,harare,UNK,UNK,NEU,POS,POS,POS,POS,MuHarare mune vet here? Kwete mavet varungu I mean veterinary clinic,"'are there angels in harare, not white? i mean the veterinary clinic'"
martinchareva,2022-09-21 16:02:44,Education,Vana,UNK,UNK,NEU,POS,NEU,NEU,NEU,@Varakashi4ED Rest in peace shuwa kufirwa kunorwadza veduwee but muri pazvigaro kudaro musatuma mapurisa kunorova vachiita vana vevamwe kafira mberi hazvina kunaka .,"""grst in pace with althace but of johaber but of you '"""
StachingsLtd,2022-09-15 18:53:57,Sanitation ,Vanhu,UNK,NEG,NEU,VNEG,VNEG,VNEG,NEG,@dtmudhlanadzo @fortunechasi @tendainheta83 Boss varamba hanzi vanhu ngavaite maAmbassadors🫡🫡 @Vimbaithe2nd,'g blush rejected people to do the united states\u0001fae1\u0001fae1 g'
tiinashefortune,2022-09-22 20:45:37,Agriculture,mvura,UNK,NEG,NEG,NEU,NEG,NEG,NEG,"vanhu vanenge vasingade kunwa hwahwa, asi pavanoti vaise mvura yeTea pastove magetsi obva aenda, votozongonwa doro ndiro rinonwika richitonhora🤦🏾‍♂️","""people who do not want to drink but when they say that they would put taadian water on smoes on sasto's electricity and will drink the cold drinks"""
